Date,Positive Return,Actual Value,Return
2018-06-19,0.0,1.0,-0.016159812244300742
2018-06-20,1.0,1.0,0.004362095686057943
2018-06-21,0.0,1.0,-0.0055763715074145246
2018-06-22,0.0,1.0,-0.002911725037058832
2018-06-25,0.0,1.0,-0.014871295842689538
2018-06-26,1.0,1.0,0.012405964371476895
2018-06-27,0.0,1.0,-0.0014639105589864256
2018-06-28,1.0,1.0,0.0072762614641841425
2018-06-29,0.0,1.0,-0.0021024225857058103
2018-07-02,1.0,1.0,0.011182497210331377
2018-07-03,0.0,1.0,-0.017416361974554873
2018-07-05,1.0,1.0,0.008046953796615242
2018-07-06,1.0,1.0,0.013861960133902064
2018-07-09,1.0,1.0,0.013885197602818922
2018-07-10,0.0,1.0,-0.0012068198411654407
2018-07-11,0.0,1.0,-0.012976102660905098
2018-07-12,1.0,1.0,0.016765987942405802
2018-07-13,1.0,1.0,0.0015704499485675873
2018-07-16,0.0,1.0,-0.0021951506032815704
2018-07-17,1.0,1.0,0.002828522737281736
2018-07-18,0.0,1.0,-0.005484476722356303
2018-07-19,1.0,1.0,0.00777316719417942
2018-07-20,0.0,1.0,-0.0022931125193319524
2018-07-23,1.0,1.0,0.0008879971102033758
2018-07-24,1.0,1.0,0.007254315459635396
2018-07-25,1.0,1.0,0.009430089762791471
2018-07-26,0.0,1.0,-0.0031310983852721463
2018-07-27,0.0,1.0,-0.016631537380496275
2018-07-30,0.0,1.0,-0.005602639487730321
2018-07-31,1.0,1.0,0.0020008931425199443
2018-08-01,1.0,1.0,0.05891012196847933
2018-08-02,1.0,1.0,0.029230766201729264
2018-08-03,1.0,1.0,0.0028931293952527692
2018-08-06,1.0,1.0,0.0051925660009186645
2018-08-07,0.0,1.0,-0.009374882313117559
2018-08-08,1.0,1.0,0.0006759663426965101
2018-08-09,1.0,1.0,0.007864921026839555
2018-08-10,0.0,1.0,-0.006463070049586682
2018-08-13,1.0,1.0,0.006456880189719794
2018-08-14,1.0,1.0,0.004213170409271827
2018-08-15,1.0,1.0,0.002336140611032489
2018-08-16,1.0,1.0,0.01464993222307931
2018-08-17,1.0,1.0,0.019969971688409416
2018-08-20,0.0,1.0,-0.009743520081563428
2018-08-21,0.0,1.0,-0.0019493799992875702
2018-08-22,1.0,1.0,4.654839070639128e-05
2018-08-23,1.0,1.0,0.0020460471293290983
2018-08-24,1.0,1.0,0.0031091844255699552
2018-08-27,1.0,1.0,0.008234635219933173
2018-08-28,1.0,1.0,0.008075591846931074
2018-08-29,1.0,1.0,0.014929443900127069
2018-08-30,1.0,1.0,0.009193663517075068
2018-08-31,1.0,1.0,0.011554042206015636
2018-09-04,1.0,1.0,0.0032069398228711248
2018-09-05,0.0,1.0,-0.006524809463923753
2018-09-06,0.0,1.0,-0.01661739804650908
2018-09-07,0.0,1.0,-0.008068144341164318
2018-09-10,0.0,1.0,-0.01342070121891725
2018-09-11,1.0,1.0,0.025282848102261116
2018-09-12,0.0,1.0,-0.012419024809011248
2018-09-13,1.0,1.0,0.02415522757937505
2018-09-14,0.0,1.0,-0.011351120898589695
2018-09-17,0.0,1.0,-0.02662612380533369
2018-09-18,1.0,1.0,0.001652288426123416
2018-09-19,1.0,1.0,0.0005956269279305816
2018-09-20,1.0,1.0,0.007601793741024431
2018-09-21,0.0,1.0,-0.010771236332936307
2018-09-24,1.0,1.0,0.014380178128097219
2018-09-25,1.0,1.0,0.006340908545882762
2018-09-26,0.0,1.0,-0.00796617423381907
2018-09-27,1.0,1.0,0.02055166870940983
2018-09-28,1.0,1.0,0.0035119295649674864
2018-10-01,1.0,1.0,0.0067333612859237215
2018-10-02,1.0,1.0,0.008888516770602095
2018-10-03,1.0,1.0,0.012168564897837129
2018-10-04,0.0,1.0,-0.017580909649193118
2018-10-05,0.0,1.0,-0.016228835115064674
2018-10-08,0.0,1.0,-0.002318378123131515
2018-10-09,1.0,1.0,0.013853469122483641
2018-10-10,0.0,1.0,-0.04632606661540717
2018-10-11,0.0,1.0,-0.008827896361255583
2018-10-12,1.0,1.0,0.035719299468948584
2018-10-15,0.0,1.0,-0.021385799770146097
2018-10-16,1.0,1.0,0.02203714240284516
